fault_type,severity,seed,baseline_vel,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,0,0.5564837480610468,0.016666666666666666,0.35463748653508315,70,True
torque_limit,0.2,1,0.5564837480610468,0.016666666666666666,1.021341109240585,113,True
torque_limit,0.2,2,0.5564837480610468,0.016666666666666666,0.35463748653508315,70,True
torque_limit,0.2,3,0.5564837480610468,0.016666666666666666,3.171752951218047,300,False
torque_limit,0.2,4,0.5564837480610468,0.016666666666666666,0.4337076529243598,62,True
torque_limit,0.2,5,0.5564837480610468,0.016666666666666666,0.4337076529243598,62,True
torque_limit,0.2,6,0.5564837480610468,0.016666666666666666,1.021341109240585,113,True
torque_limit,0.2,7,0.5564837480610468,0.05,0.6255993778792076,83,True
torque_limit,0.2,8,0.5564837480610468,0.016666666666666666,0.4337076529243598,62,True
torque_limit,0.2,9,0.5564837480610468,0.016666666666666666,1.021341109240585,113,True
torque_limit,0.2,10,0.5564837480610468,0.016666666666666666,3.171752951218047,300,False
torque_limit,0.2,11,0.5564837480610468,0.016666666666666666,2.694774842695919,300,False
torque_limit,0.2,12,0.5564837480610468,0.016666666666666666,0.5414642144415195,61,True
torque_limit,0.2,13,0.5564837480610468,0.016666666666666666,0.35463748653508315,70,True
torque_limit,0.2,14,0.5564837480610468,0.016666666666666666,2.694774842695919,300,False
torque_limit,0.2,15,0.5564837480610468,0.05,0.6255993778792076,83,True
torque_limit,0.2,16,0.5564837480610468,0.016666666666666666,2.7516576562984025,300,False
torque_limit,0.2,17,0.5564837480610468,0.016666666666666666,0.4337076529243598,62,True
torque_limit,0.2,18,0.5564837480610468,0.016666666666666666,0.35463748653508315,70,True
torque_limit,0.2,19,0.5564837480610468,0.016666666666666666,0.5414642144415195,61,True
torque_limit,0.2,20,0.5564837480610468,0.016666666666666666,0.35463748653508315,70,True
torque_limit,0.2,21,0.5564837480610468,0.016666666666666666,2.467459894743497,300,False
torque_limit,0.2,22,0.5564837480610468,0.016666666666666666,3.171752951218047,300,False
torque_limit,0.2,23,0.5564837480610468,0.016666666666666666,2.357139464221714,300,False
torque_limit,0.2,24,0.5564837480610468,0.016666666666666666,2.5838604021233795,300,False
